sensor,X,Y
M007,480.696212121212,102.100757575757
M006,401.293939393939,105.515909090909
M004,384.218181818182,226.753787878788
MA005,285.178787878788,252.367424242424
M003,380.80303030303,412.879545454545
M009,404.709090909091,569.976515151515
M015,543.022727272727,590.467424242424
M016,543.022727272727,590.467424242424
M018,440.568181818182,856.849242424242
M002,172.478787878788,474.352272727273
M001,68.3166666666666,307.009848484848
M008,549.85303030303,182.356818181818
M014,285.178787878788,814.159848484848
MA023,249.319696969697,967.841666666666
M022,189.554545454545,1063.46590909091
M010,524.239393939394,453.861363636363
MA011,524.239393939394,370.190151515151
M012,520.824242424242,330.915909090909
M024,578.881818181818,327.500757575757
MA013,206.630303030303,774.885606060606
M017,515.701515151515,836.358333333333
MA019,484.965151515152,961.011363636364
M020,546.437878787879,993.455303030303
M021,432.030303030303,1013.94621212121
