sensor,X,Y
M017,313,475.25
M009,356.5,352.25
M019,316,275.75
M020,92.4999999999999,208.25
M016,284.5,583.25
M015,269.5,631.25
M022,374.5,679.25
M012,425.5,650.75
M003,547,653.75
M005,622,23.7499999999999
M006,452.5,64.2499999999999
M008,403,202.25
M011,353.5,539.75
M028,112,161.75
M021,56.5,100.25
M025,142,376.25
M013,250,328.25
M010,425.5,541.25
M023,326.5,652.25
M014,266.5,695.75
M026,340,119.75
M018,233.5,473.75
M007,277,100.25
M027,578.5,461.75
M002,691,593.75
M001,686.5,701.75
D001,686.5,730.25
M004,487,200.75
D003,265,724.25
D002,650.5,643.25
M024,96.9999999999999,616.25
